   2.200000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.210000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.220000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.230000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.240000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.250000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.260000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.270000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.280000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.290000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.300000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.310000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.320000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.330000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.340000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.350000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.360000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.370000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.380000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.390000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.400000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.410000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.420000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.430000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.440000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.450000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.460000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.470000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.480000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.490000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.500000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.510000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.520000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.530000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.540000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.550000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.560000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.570000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.580000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.590000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
